,Index,Price,Time Insulated,Capacity,Cleanability,Containment,Market Share,Margin,Expected Profit per Person
0,1,30,0.5,12,Difficult,Slosh resistant,0.0010718113612004287,27.0,0.028938906752411574
1,2,30,0.5,12,Difficult,Spill resistant,0.0010718113612004287,26.7,0.028617363344051447
2,3,30,0.5,12,Difficult,Leak resistant,0.006730975348338692,26.5,0.17837084673097534
3,4,30,0.5,12,Fair,Slosh resistant,0.0031886387995712752,25.8,0.0822668810289389
4,5,30,0.5,12,Fair,Spill resistant,0.01928188638799571,25.5,0.4916881028938906
5,6,30,0.5,12,Fair,Leak resistant,0.030085744908896036,25.3,0.7611693461950697
6,7,30,0.5,12,Easy,Slosh resistant,0.0032529474812433012,25.0,0.08132368703108253
7,8,30,0.5,12,Easy,Spill resistant,0.019362272240085743,24.7,0.4782481243301178
8,9,30,0.5,12,Easy,Leak resistant,0.03021436227224009,24.5,0.7402518756698822
9,10,30,0.5,20,Difficult,Slosh resistant,0.0018917470525187568,25.4,0.04805037513397642
10,11,30,0.5,20,Difficult,Spill resistant,0.0036280814576634506,25.1,0.09106484458735262
11,12,30,0.5,20,Difficult,Leak resistant,0.007454448017148982,24.9,0.18561575562700963
12,13,30,0.5,20,Fair,Slosh resistant,0.003944265809217577,24.2,0.09545123258306537
13,14,30,0.5,20,Fair,Spill resistant,0.021645230439442657,23.9,0.5173210075026795
14,15,30,0.5,20,Fair,Leak resistant,0.03170953912111469,23.7,0.7515160771704181
15,16,30,0.5,20,Easy,Slosh resistant,0.003976420150053591,23.4,0.09304823151125402
16,17,30,0.5,20,Easy,Spill resistant,0.021886387995712752,23.1,0.5055755627009646
17,18,30,0.5,20,Easy,Leak resistant,0.03159699892818864,22.9,0.7235712754555198
18,19,30,0.5,32,Difficult,Slosh resistant,0.0019560557341907828,25.2,0.049292604501607724
19,20,30,0.5,32,Difficult,Spill resistant,0.003531618435155413,24.9,0.08793729903536977
20,21,30,0.5,32,Difficult,Leak resistant,0.009030010718113613,24.7,0.22304126473740624
21,22,30,0.5,32,Fair,Slosh resistant,0.002834941050375134,24.0,0.06803858520900322
22,23,30,0.5,32,Fair,Spill resistant,0.010230439442658093,23.7,0.2424614147909968
23,24,30,0.5,32,Fair,Leak resistant,0.021645230439442654,23.5,0.5086629153269023
24,25,30,0.5,32,Easy,Slosh resistant,0.002802786709539121,23.2,0.06502465166130761
25,26,30,0.5,32,Easy,Spill resistant,0.010037513397642016,22.9,0.22985905680600216
26,27,30,0.5,32,Easy,Leak resistant,0.021773847802786708,22.7,0.49426634512325823
27,28,30,1.0,12,Difficult,Slosh resistant,0.0018113612004287247,26.5,0.04800107181136121
28,29,30,1.0,12,Difficult,Spill resistant,0.0019882100750267953,26.2,0.05209110396570204
29,30,30,1.0,12,Difficult,Leak resistant,0.008435155412647374,26.0,0.21931404072883173
30,31,30,1.0,12,Fair,Slosh resistant,0.011270096463022506,25.3,0.2851334405144694
31,32,30,1.0,12,Fair,Spill resistant,0.0340032154340836,25.0,0.85008038585209
32,33,30,1.0,12,Fair,Leak resistant,0.04906752411575563,24.8,1.2168745980707396
33,34,30,1.0,12,Easy,Slosh resistant,0.011205787781350483,24.5,0.2745418006430868
34,35,30,1.0,12,Easy,Spill resistant,0.03372990353697749,24.2,0.8162636655948552
35,36,30,1.0,12,Easy,Leak resistant,0.04900321543408359,24.0,1.1760771704180062
36,37,30,1.0,20,Difficult,Slosh resistant,0.004287245444801715,24.9,0.1067524115755627
37,38,30,1.0,20,Difficult,Spill resistant,0.005862808145766345,24.6,0.1442250803858521
38,39,30,1.0,20,Difficult,Leak resistant,0.010509110396570204,24.4,0.256422293676313
39,40,30,1.0,20,Fair,Slosh resistant,0.014533762057877812,23.7,0.34445016077170415
40,41,30,1.0,20,Fair,Spill resistant,0.037856377277599135,23.4,0.8858392282958197
41,42,30,1.0,20,Fair,Leak resistant,0.05145766345123259,23.2,1.193817792068596
42,43,30,1.0,20,Easy,Slosh resistant,0.014485530546623793,22.9,0.3317186495176848
43,44,30,1.0,20,Easy,Spill resistant,0.03956055734190782,22.6,0.8940685959271167
44,45,30,1.0,20,Easy,Leak resistant,0.05374062165058949,22.4,1.2037899249732045
45,46,30,1.0,32,Difficult,Slosh resistant,0.00439978563772776,24.7,0.10867470525187567
46,47,30,1.0,32,Difficult,Spill resistant,0.005991425509110396,24.4,0.14619078242229366
47,48,30,1.0,32,Difficult,Leak resistant,0.01227759914255091,24.2,0.29711789924973203
48,49,30,1.0,32,Fair,Slosh resistant,0.010418006430868166,23.5,0.2448231511254019
49,50,30,1.0,32,Fair,Spill resistant,0.02413183279742765,23.2,0.5598585209003215
50,51,30,1.0,32,Fair,Leak resistant,0.03938906752411576,23.0,0.9059485530546624
51,52,30,1.0,32,Easy,Slosh resistant,0.010466237942122186,22.7,0.23758360128617362
52,53,30,1.0,32,Easy,Spill resistant,0.02580385852090032,22.4,0.578006430868167
53,54,30,1.0,32,Easy,Leak resistant,0.040884244372990354,22.2,0.9076302250803858
54,55,30,3.0,12,Difficult,Slosh resistant,0.00345123258306538,24.5,0.08455519828510182
55,56,30,3.0,12,Difficult,Spill resistant,0.003515541264737406,24.2,0.08507609860664522
56,57,30,3.0,12,Difficult,Leak resistant,0.009914255091103967,24.0,0.2379421221864952
57,58,30,3.0,12,Fair,Slosh resistant,0.01355305466237942,23.3,0.3157861736334405
58,59,30,3.0,12,Fair,Spill resistant,0.04170418006430868,23.0,0.9591961414790996
59,60,30,3.0,12,Fair,Leak resistant,0.057315112540192927,22.8,1.3067845659163988
60,61,30,3.0,12,Easy,Slosh resistant,0.013520900321543409,22.5,0.3042202572347267
61,62,30,3.0,12,Easy,Spill resistant,0.04184887459807073,22.2,0.9290450160771703
62,63,30,3.0,12,Easy,Leak resistant,0.057250803858520896,22.0,1.2595176848874596
63,64,30,3.0,20,Difficult,Slosh resistant,0.005862808145766345,22.9,0.1342583065380493
64,65,30,3.0,20,Difficult,Spill resistant,0.0075348338692390136,22.6,0.17028724544480173
65,66,30,3.0,20,Difficult,Leak resistant,0.012438370846730976,22.4,0.27861950696677384
66,67,30,3.0,20,Fair,Slosh resistant,0.018295819935691317,21.7,0.3970192926045016
67,68,30,3.0,20,Fair,Spill resistant,0.045991425509110395,21.4,0.9842165058949623
68,69,30,3.0,20,Fair,Leak resistant,0.05967309753483386,21.2,1.2650696677384778
69,70,30,3.0,20,Easy,Slosh resistant,0.01845659163987138,20.9,0.3857427652733118
70,71,30,3.0,20,Easy,Spill resistant,0.047583065380493034,20.6,0.9802111468381566
71,72,30,3.0,20,Easy,Leak resistant,0.06160235798499464,20.4,1.2566881028938905
72,73,30,3.0,32,Difficult,Slosh resistant,0.004271168274383709,22.7,0.0969555198285102
73,74,30,3.0,32,Difficult,Spill resistant,0.005766345123258306,22.4,0.12916613076098604
74,75,30,3.0,32,Difficult,Leak resistant,0.012422293676312968,22.2,0.2757749196141479
75,76,30,3.0,32,Fair,Slosh resistant,0.012845659163987139,21.5,0.27618167202572347
76,77,30,3.0,32,Fair,Spill resistant,0.02979099678456592,21.2,0.6315691318327975
77,78,30,3.0,32,Fair,Leak resistant,0.0447427652733119,21.0,0.9395980707395498
78,79,30,3.0,32,Easy,Slosh resistant,0.01287781350482315,20.7,0.26657073954983923
79,80,30,3.0,32,Easy,Spill resistant,0.03130225080385852,20.4,0.6385659163987137
80,81,30,3.0,32,Easy,Leak resistant,0.04683279742765273,20.2,0.9460225080385851
81,82,10,0.5,12,Difficult,Slosh resistant,0.03954448017148982,7.0,0.27681136120042876
82,83,10,0.5,12,Difficult,Spill resistant,0.09976956055734189,6.7,0.6684560557341906
83,84,10,0.5,12,Difficult,Leak resistant,0.1164737406216506,6.5,0.7570793140407289
84,85,10,0.5,12,Fair,Slosh resistant,0.1286870310825295,5.8,0.7463847802786711
85,86,10,0.5,12,Fair,Spill resistant,0.2551822079314041,5.5,1.4035021436227226
86,87,10,0.5,12,Fair,Leak resistant,0.2962915326902465,5.3,1.5703451232583063
87,88,10,0.5,12,Easy,Slosh resistant,0.1287513397642015,5.0,0.6437566988210075
88,89,10,0.5,12,Easy,Spill resistant,0.25603429796355837,4.7,1.2033612004287244
89,90,10,0.5,12,Easy,Leak resistant,0.2973526259378349,4.5,1.338086816720257
90,91,10,0.5,20,Difficult,Slosh resistant,0.05439978563772776,5.4,0.2937588424437299
91,92,10,0.5,20,Difficult,Spill resistant,0.1234030010718114,5.1000000000000005,0.6293553054662382
92,93,10,0.5,20,Difficult,Leak resistant,0.142406216505895,4.9,0.6977904608788855
93,94,10,0.5,20,Fair,Slosh resistant,0.14810825294748126,4.199999999999999,0.6220546623794212
94,95,10,0.5,20,Fair,Spill resistant,0.2917899249732047,3.8999999999999995,1.1379807073954982
95,96,10,0.5,20,Fair,Leak resistant,0.3370150053590567,3.6999999999999993,1.2469555198285096
96,97,10,0.5,20,Easy,Slosh resistant,0.14796355841371922,3.4000000000000004,0.5030760986066454
97,98,10,0.5,20,Easy,Spill resistant,0.2940889603429796,3.1000000000000005,0.9116757770632369
98,99,10,0.5,20,Easy,Leak resistant,0.33879957127545557,2.9000000000000004,0.9825187566988213
99,100,10,0.5,32,Difficult,Slosh resistant,0.04319399785637727,5.2,0.22460878885316182
100,101,10,0.5,32,Difficult,Spill resistant,0.10419078242229367,4.9,0.510534833869239
101,102,10,0.5,32,Difficult,Leak resistant,0.12456055734190781,4.7,0.5854346195069667
102,103,10,0.5,32,Fair,Slosh resistant,0.1242015005359057,4.0,0.4968060021436228
